>> ExpansionTester
circle,params: a=1.800000e+00, b=1.800000e+00 (AR=1), c=0, p=20, -2<x,y<2 
k=10 	 N=257 	 Min |n|=6.7871e-05	 Max |n|=2.1618e-02	 err=1.456043e-06 	 rate=5.09 	 err_theta=-3.0367      3.0367	 err_r=1.7911      1.7911	 err_dist=0.019145    0.019145	 err loc (117  141   ;  15  15)
k=10 	 N=513 	 Min |n|=5.6523e-05	 Max |n|=1.0764e-02	 err=5.805642e-08 	 rate=4.65 	 err_theta=-3.0255      3.0255	 err_r=1.754       1.754	 err_dist=-0.010295   -0.010295	 err loc (231  283   ;  34  34)
k=10 	 N=1025	 Min |n|=1.0587e-06	 Max |n|=5.4442e-03	 err=1.782145e-09 	 rate=5.03 	 err_theta=-3.0189      3.0189     -0.1227      0.1227	 err_r=1.7554      1.7554      1.7554      1.7554	 err_dist=-0.0051757  -0.0051757  -0.0051757  -0.0051757	 err loc (458  568  458  568   ;  67   67  959  959)

ExpansionTester
kolobok,params: a=1.800000e+00, b=1.500000e+00 (AR=1.200000e+00), c=1.200000e+00, p=20, -3<x,y<3 
k=1e-01	 N=65  	 Min |n|=8.0420e-04	 Max |n|=1.3175e-01	 err=9.812463e-13 	 rate=NaN  	 err_theta=-1.9296      1.9296      -1.212       1.212	 err_r=1.602       1.602       1.602       1.602	 err_dist=-0.12319    -0.12319    -0.12319    -0.12319	 err loc (17  49  17  49   ;  27  27  39  39)
k=1e-01	 N=129 	 Min |n|=3.1890e-04	 Max |n|=6.5687e-02	 err=3.786382e-14 	 rate=4.70 	 err_theta=-0.31362     0.31362	 err_r=1.8233      1.8233	 err_dist=0.059421    0.059421	 err loc (53  77   ;  102  102)
k=1e-01	 N=257 	 Min |n|=1.2198e-04	 Max |n|=3.2682e-02	 err=2.281439e-13 	 rate=-2.59 	 err_theta=-1.8647      1.8647	 err_r=1.861       1.861	 err_dist=0.00012198  0.00012198	 err loc (53  205   ;  106  106)
k=1e-01	 N=513 	 Min |n|=4.0426e-06	 Max |n|=1.6538e-02	 err=2.651652e-12 	 rate=-3.54 	 err_theta=-1.1776      1.1776	 err_r=1.7127      1.7127	 err_dist=1.0557e-05  1.0557e-05	 err loc (122  392   ;  313  313)
k=1e-01	 N=1025	 Min |n|=4.0426e-06	 Max |n|=8.2612e-03	 err=3.565043e-12 	 rate=-0.43 	 err_theta=-1.8512      1.8512	 err_r=1.8842      1.8842	 err_dist=1.2343e-05  1.2343e-05	 err loc (204  822   ;  424  424)

k=5e-01	 N=65  	 Min |n|=8.0420e-04	 Max |n|=1.3175e-01	 err=3.066409e-09 	 rate=NaN  	 err_theta=-1.212       1.212	 err_r=1.602       1.602	 err_dist=-0.12319    -0.12319	 err loc (17  49   ;  39  39)
k=5e-01	 N=129 	 Min |n|=3.1890e-04	 Max |n|=6.5687e-02	 err=1.192264e-10 	 rate=4.68 	 err_theta=-0.31362     0.31362	 err_r=1.8233      1.8233	 err_dist=0.059421    0.059421	 err loc (53  77   ;  102  102)
k=5e-01	 N=257 	 Min |n|=1.2198e-04	 Max |n|=3.2682e-02	 err=4.141907e-12 	 rate=4.85 	 err_theta=-1.8561      1.8561     -1.2855      1.2855	 err_r=1.8319      1.8319      1.8319      1.8319	 err_dist=-0.031961   -0.031961   -0.031961   -0.031961	 err loc (54  204   54  204   ;  107  107  151  151)
k=5e-01	 N=513 	 Min |n|=4.0426e-06	 Max |n|=1.6538e-02	 err=1.325828e-11 	 rate=-1.68 	 err_theta=-1.1776      1.1776	 err_r=1.7127      1.7127	 err_dist=1.0557e-05  1.0557e-05	 err loc (122  392   ;  313  313)
k=5e-01	 N=1025	 Min |n|=4.0426e-06	 Max |n|=8.2612e-03	 err=1.782527e-11 	 rate=-0.43 	 err_theta=-1.8512      1.8512	 err_r=1.8842      1.8842	 err_dist=1.2343e-05  1.2343e-05	 err loc (204  822   ;  424  424)

k=1  	 N=65  	 Min |n|=8.0420e-04	 Max |n|=1.3175e-01	 err=9.811729e-08 	 rate=NaN  	 err_theta=-1.212       1.212	 err_r=1.602       1.602	 err_dist=-0.12319    -0.12319	 err loc (17  49   ;  39  39)
